Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend,Mean_Rainfall_mm
0,2019-01-01,2.302428310440883,-1.5130504402278848,-2.069014762332665,,2,,5.884493513001432,Stable,
0,2020-01-01,2.548087996256785,-1.833551447731553,-2.207585357695454,,2,,6.589224801683793,Stable,
0,2021-01-01,2.406766516739398,-1.745441985934948,-2.109220744123417,,2,,6.261429246797764,Stable,
0,2022-01-01,0.7231124487134832,-1.2141879472183668,-0.3473523314086844,,2,,2.2846527273405344,Stable,
0,2023-01-01,0.6593563050194039,-1.1660654946970312,-0.3014925982675116,,2,,2.126914397983947,Stable,
0,2024-01-01,0.8386202455488642,-1.3350803888233742,-0.418696311162236,,2,,2.592396945534474,Stable,
0,2025-01-01,0.7959178366216758,-1.2787996686054717,-0.4023966158935211,,2,,2.4771141211206684,Stable,
11,2019-01-01,2.1983395503907803,-1.4802142058383867,-2.045906397628011,Sera Community Conservancy,2,Overall Gain,5.724460153857178,High Risk Gain,9.124568536968097
11,2020-01-01,2.5079902487008336,-1.855517494285163,-2.188879395491776,Sera Community Conservancy,2,Overall Gain,6.552387138477773,High Risk Gain,8.101549895800467
11,2021-01-01,2.403082950002347,-1.815829219167824,-2.042289181061203,Sera Community Conservancy,2,Overall Gain,6.261201350231374,High Risk Gain,4.54722764705122
11,2022-01-01,0.6667262391291542,-1.1447540212485356,-0.2771630965433371,Sera Community Conservancy,2,Overall Gain,2.088643356921027,High Risk Gain,4.7216735007518364
11,2023-01-01,0.7021755492746687,-1.249908864737204,-0.3308822061144257,Sera Community Conservancy,2,Overall Gain,2.282966620126299,High Risk Gain,11.199125863372169
11,2024-01-01,0.7398301059191628,-1.250987376572434,-0.321920404294301,Sera Community Conservancy,2,Overall Gain,2.312737886785898,High Risk Gain,7.022767876867467
11,2025-01-01,0.6934908808166013,-1.2281313662596234,-0.3654469947554402,Sera Community Conservancy,2,Overall Gain,2.2870692418316647,High Risk Gain,1.0467348630490625
10,2019-01-01,-0.1203347801365796,1.256743720988643,-0.564704439947703,Il Ngwesi Community Trust,0,Overall Stable,1.9417829410729257,Stable,16.62472906112038
10,2020-01-01,0.8462926112010756,-0.1238194554093779,-1.046941077000897,Il Ngwesi Community Trust,2,Overall Stable,2.0170531436113506,Stable,17.004283058347664
10,2021-01-01,-0.0958567511076771,1.1701111471567125,-0.5800384332835744,Il Ngwesi Community Trust,0,Overall Stable,1.846006331547964,Stable,10.459042392321122
10,2022-01-01,-0.4408211830331691,0.1947502495332678,0.3396016691007601,Il Ngwesi Community Trust,1,Overall Stable,0.9751731016671972,Stable,8.715012501747902
10,2023-01-01,-0.7274370347598188,0.5138225899729207,0.4986545267066583,Il Ngwesi Community Trust,1,Overall Stable,1.739914151439398,Stable,17.482709489122115
10,2024-01-01,-0.3027306073018936,0.0070684820624847,0.3486993603922575,Il Ngwesi Community Trust,1,Overall Stable,0.658498449756636,Stable,14.160451854775047
10,2025-01-01,-0.5333244847111736,0.3482089820359015,0.496697003702639,Il Ngwesi Community Trust,1,Overall Stable,1.378230470449714,Stable,7.422155388602706
13,2019-01-01,1.60349066949298,-1.421173027684912,-1.2406739904785535,Jaldesa Community Conservancy,2,Overall Gain,4.265337687656445,High Risk Gain,10.34355904459932
13,2020-01-01,1.7560515170765836,-1.5554326652794566,-1.2601177377766426,Jaldesa Community Conservancy,2,Overall Gain,4.571601920132682,High Risk Gain,11.019317664985982
13,2021-01-01,1.3228455672407664,-1.0091953898084645,-0.9408228420950626,Jaldesa Community Conservancy,2,Overall Gain,3.272863799144294,High Risk Gain,4.776564050183176
13,2022-01-01,0.5201013591346932,-1.1116039202777055,-0.0553487041317876,Jaldesa Community Conservancy,2,Overall Gain,1.6870539835441862,High Risk Gain,5.5379208111994975
13,2023-01-01,0.2364851898448493,-0.7777496041450743,0.1735468417160479,Jaldesa Community Conservancy,1,Overall Gain,1.1877816357059716,Moderate Risk Gain,15.868410221285677
13,2024-01-01,0.3879761197044922,-1.0388828092519184,0.0664355190656873,Jaldesa Community Conservancy,2,Overall Gain,1.493294448022098,Moderate Risk Gain,8.470710925773043
13,2025-01-01,0.2174163373486647,-0.8570817663437502,0.1354084073268751,Jaldesa Community Conservancy,1,Overall Gain,1.20990651101929,Moderate Risk Gain,2.2054355294580827
12,2019-01-01,0.5960421448732914,0.6793711967436432,-0.7810061765279588,Ishaqbini Hirola Community Conservancy,0,Overall Stable,2.056419518144893,Stable,15.800584989378857
